"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.1"
"2017","","England and Wales","","","","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","","All","","Rate per 1,000 live births","Units","Undefined","K04000001","2.8"
"2017","","England and Wales","","","","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","3.1"
"2017","","England and Wales","","","","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.1"
"2017","","England and Wales","","","","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","4.2"
"2017","","England and Wales","","","","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.2"
"2017","","England and Wales","","","","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2017","","England and Wales","","","","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","2.9"
"2017","","England and Wales","","","","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1.9"
"2017","","England and Wales","","","","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","2.5"
"2017","","England and Wales","","","","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.1"
"2017","","England and Wales","","","","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2017","","England and Wales","","","","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","2.6"
"2017","","England and Wales","","","","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.2"
"2017","","England and Wales","","","","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","2.8"
"2017","","England and Wales","","","","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","2.6"
"2017","","England and Wales","","","","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","1"
"2017","","England and Wales","","","","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","3.6"
"2017","","England and Wales","","","","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","Less than 1000","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","338.5"
"2017","","England and Wales","","","Less than 1000","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","49.6"
"2017","","England and Wales","","","Less than 1000","All","","Rate per 1,000 live births","Units","Undefined","K04000001","388.1"
"2017","","England and Wales","","","Less than 1000","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","410"
"2017","","England and Wales","","","Less than 1000","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","60"
"2017","","England and Wales","","","Less than 1000","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","470"
"2017","","England and Wales","","","Less than 1000","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","325.4"
"2017","","England and Wales","","","Less than 1000","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","52.9"
"2017","","England and Wales","","","Less than 1000","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","378.3"
"2017","","England and Wales","","","Less than 1000","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","327.2"
"2017","","England and Wales","","","Less than 1000","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","57.8"
"2017","","England and Wales","","","Less than 1000","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","385.1"
"2017","","England and Wales","","","Less than 1000","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","363.9"
"2017","","England and Wales","","","Less than 1000","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","47.8"
"2017","","England and Wales","","","Less than 1000","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","411.7"
"2017","","England and Wales","","","Less than 1000","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","332.7"
"2017","","England and Wales","","","Less than 1000","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","37.8"
"2017","","England and Wales","","","Less than 1000","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","370.5"
"2017","","England and Wales","","","Less than 1000","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","263.5"
"2017","","England and Wales","","","Less than 1000","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","47.3"
"2017","","England and Wales","","","Less than 1000","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","310.8"
"2017","","England and Wales","","","Less than 1000","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
