"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2018","","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",2.2
"2018","","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.6
"2018","","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",2.7
"2018","Male","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",2.4
"2018","Male","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.6
"2018","Male","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",2.9
"2018","Female","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",2
"2018","Female","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.5
"2018","Female","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",2.5
"2018","","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",2.2
"2018","","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.6
"2018","","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",2.8
"2018","Male","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",2.4
"2018","Male","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.6
"2018","Male","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",3
"2018","Female","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",2
"2018","Female","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.5
"2018","Female","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",2.6
"2018","","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",2
"2018","","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.5
"2018","","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.5
"2018","Male","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",2.4
"2018","Male","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.4
"2018","Male","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.8
"2018","Female","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",1.6
"2018","Female","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.6
"2018","Female","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.2
"2018","","Scotland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.4
"2018","","Scotland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.6
"2018","","Scotland","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",2
"2018","Male","Scotland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.3
"2018","Male","Scotland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.6
"2018","Male","Scotland","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",1.9
"2018","Female","Scotland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.6
"2018","Female","Scotland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.5
"2018","Female","Scotland","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",2.1
"2018","","Northern Ireland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.7
"2018","","Northern Ireland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.5
"2018","","Northern Ireland","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",3.2
"2018","Male","Northern Ireland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.8
"2018","Male","Northern Ireland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.5
"2018","Male","Northern Ireland","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",3.3
"2018","Female","Northern Ireland","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.7
"2018","Female","Northern Ireland","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.4
"2018","Female","Northern Ireland","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",3.1
